address,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip,ACS Economics/Median household income/Total/Value,ACS Economics/Median household income/Total/Margin of error,ACS Demographics/Median age/Total/Value,ACS Demographics/Median age/Total/Margin of error,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage
"Milepost: 10.86, Subdivision: Martinez. Cross Streets: Cutting Blvd and Carlson Blvd. ,Richmond,Contra Costa County",37.807641,-122.290902,0.9,street_center,Oakland,CA,Alameda County,94607.0,22560.0,5261.0,31.6,6.3,0.124,0.726,0.0,0.12,0.03
"IMTT Terminal, 100 CUTTING BLVD,Richmond,Contra Costa County",37.922339,-122.369192,0.95,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"Kensignton Ave and Cypress Ave,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Cutting Boulevard & Carlson Boulevard,Richmond,Contra Costa County",37.925173,-122.338017,1.0,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"901 West Cutting Boulevard,Richmond,Contra Costa County",37.92567,-122.378645,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"980 Hensley Street,Richmond,Contra Costa County",37.94552,-122.366808,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"200 cutting Blvd,Richmond,Contra Costa County",37.92561,-122.367474,0.8,nearest_rooftop_match,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"3411 Blume Drive,Richmond,Contra Costa County",37.986722,-122.317866,1.0,rooftop,San Pablo,CA,Contra Costa County,94806.0,0.0,0.0,28.6,3.6,0.267,0.166,0.0,0.447,0.0
"214 Main Street (behind building),Richmond,Contra Costa County",38.015174,-122.139772,0.9,nearest_rooftop_match,Martinez,CA,Contra Costa County,94553.0,35729.0,22499.0,42.4,3.4,0.608,0.236,0.0,0.037,0.0
"22 waterline Pl (Behind Home),Richmond,Contra Costa County",37.908762,-122.374686,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"230 W Cutting Blvd,Richmond,Contra Costa County",37.923847,-122.371652,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"1340 Marino Way South // Slip F263,Richmond,Contra Costa County",37.917326,-122.355774,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"841 Chevron Way, Chevron Richmond Refinery ,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"1215 Harbour Way South,Richmond,Contra Costa County",37.914254,-122.359637,0.9,range_interpolation,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"ALONGSIDE A SLIP AT 1319 CANAL BLVD. ,Richmond,Contra Costa County",37.907843,-122.369544,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"940 Hensley Street,Richmond,Contra Costa County",37.944823,-122.368456,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"37th Street and Bissell Avenue,Richmond,Contra Costa County",37.933109,-122.334401,1.0,intersection,Richmond,CA,Contra Costa County,94805.0,,,,,,,,,
"Point Richmond Pier ,Richmond,Contra Costa County",37.90854,-121.60023,0.5,place,Discovery Bay,CA,Contra Costa County,94505.0,,,,,,,,,
"MP 14.1 Martinez Subdivision,Richmond,Contra Costa County",37.969059,-121.666358,0.9,nearest_rooftop_match,Knightsen,CA,Contra Costa County,94548.0,54177.0,50349.0,32.2,9.1,0.496,0.504,0.0,0.0,0.0
"MP 10.86 Martinez Subdivision // Cutting and Carlson Blvd ,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"MP 1186.17, Stockton Subdivision,Richmond,Contra Costa County",37.950886,-122.353658,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,85341.0,38916.0,38.3,3.3,0.327,0.25,0.0,0.305,0.0
"Mile Post 1186.1 Stockton Sub Division,Richmond,Contra Costa County",38.049674,-122.224843,0.85,nearest_rooftop_match,Crockett,CA,Contra Costa County,94525.0,90655.0,28783.0,41.9,9.9,0.749,0.15,0.0,0.048,0.0
"Pier D 223,Richmond,Contra Costa County",37.926293,-122.386157,0.9,range_interpolation,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"Slip D225 Marina Bay Yacht Harbor; 1340 Marina Way South ,Richmond,Contra Costa County",37.917326,-122.355774,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"Milepost marker #11.8 of the Martinez Subdivision,Richmond,Contra Costa County",37.931524,-122.361993,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,56053.0,35670.0,35.2,15.5,0.166,0.343,0.118,0.31,0.0
"3110 Regatta Blvd,Richmond,Contra Costa County",37.914071,-122.339687,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,142134.0,27685.0,49.3,12.4,0.324,0.358,0.01,0.214,0.0
"4306 Fran Way x Apian Way,Richmond,Contra Costa County",37.973748,-122.297476,1.0,rooftop,El Sobrante,CA,Contra Costa County,94803.0,80742.0,30033.0,38.7,4.7,0.333,0.208,0.0,0.424,0.0
"Dornan Drive and Western Drive,Richmond,Contra Costa County",37.92107,-122.385624,0.99,intersection,Richmond,CA,Contra Costa County,94801.0,,,,,,,,,
"Freeway 4 Franklin Canyon Exit ,Richmond,Contra Costa County",37.992823,-122.145743,0.7,street_center,Martinez,CA,Contra Costa County,94553.0,187875.0,46111.0,51.2,6.3,0.578,0.19,0.0,0.206,0.0
"RICHMOND PIER; NEAR AN ABANDONED BUILDING,Richmond,Contra Costa County",38.012741,-121.335336,0.95,street_center,Stockton,CA,San Joaquin County,95207.0,92964.0,17467.0,37.5,8.6,0.674,0.082,0.0,0.122,0.0
" 841 Chevron Way ,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"Latitude: 37° 54' 30"" N   /   Longitude: 112° 23' 12"" W,Richmond,Contra Costa County",37.826198,-122.268935,0.9,street_center,Oakland,CA,Alameda County,94609.0,0.0,0.0,29.9,9.8,0.646,0.156,0.0,0.101,0.028
"101 Windjammer Court,Richmond,Contra Costa County",37.911292,-122.339239,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,142134.0,27685.0,49.3,12.4,0.324,0.358,0.01,0.214,0.0
"200 S Garrard Boulevard,Richmond,Contra Costa County",37.929394,-122.379153,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"Mile Post 14.2, Martinez Subdivision,Richmond,Contra Costa County",37.931692,-122.367382,0.9,rooftop,Richmond,CA,Contra Costa County,94801.0,56053.0,35670.0,35.2,15.5,0.166,0.343,0.118,0.31,0.0
"S 23rd St & Cutting Blvd,Richmond,Contra Costa County",37.925193,-122.347665,1.0,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"4701 Hartnett Ave,Richmond,Contra Costa County",37.917601,-122.325484,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,37667.0,19582.0,33.4,3.7,0.106,0.664,0.0,0.128,0.013
"1401 Marina Way Suit 240,Richmond,Contra Costa County",37.917125,-122.355774,0.76,range_interpolation,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"Marina Way South & Cutting Boulevard,Richmond,Contra Costa County",37.925204,-122.355873,1.0,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"23rd Street and Cutting Boulevard,Richmond,Contra Costa County",37.925193,-122.347665,0.8,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"4701 Hartnett Avenue,Richmond,Contra Costa County",37.917601,-122.325484,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,37667.0,19582.0,33.4,3.7,0.106,0.664,0.0,0.128,0.013
"Between 12 Nautical mile mark and Chevron dock in Richmond,Richmond,Contra Costa County",38.026702,-122.273892,0.21,nearest_rooftop_match,Hercules,CA,Contra Costa County,94547.0,147708.0,37854.0,38.3,5.5,0.065,0.122,0.0,0.786,0.0
"1340 MARINA WAY SOUTH,Richmond,Contra Costa County",37.917326,-122.355774,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"551 Dimm Street,Richmond,Contra Costa County",37.937018,-122.323138,1.0,rooftop,Richmond,CA,Contra Costa County,94805.0,134007.0,34402.0,44.2,8.0,0.735,0.021,0.0,0.241,0.0
"MP 13.59 Martinez Subdivision ,Richmond,Contra Costa County",37.914502,-122.313686,0.6,street_center,Richmond,CA,Contra Costa County,94804.0,64191.0,36477.0,31.9,2.8,0.58,0.051,0.0,0.246,0.0
"303 South Garrad Blvd ,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"2600 Spinnaker Way,Richmond,Contra Costa County",37.912429,-122.345429,0.88,nearest_rooftop_match,Richmond,CA,Contra Costa County,94804.0,105945.0,10039.0,43.9,10.4,0.501,0.164,0.0,0.31,0.0
